Year,States,Total_Cybercrimes,Financial_Fraud,Identity_Theft,Cyberbullying,Hacking,Data_Breaches,Economic_Cybercrimes,Online_Scams,Phishing_Attacks,Ransomware_Attacks,Malware_Infections,Social_Media_Fraud,Dark_Web_Activity,Cybersecurity_Breaches,Cases_Charge_Sheeted,Persons_Arrested
2000,Tamil Nadu,15676,5795.0,4697.0,1190.0,4173.0,1655.0,9087.0,1065.0,779.0,265.0,2200.0,240.0,495.0,1597.0,613.0,803.0
2001,Telangana,21537,6674.0,5307.0,2137.0,4711.0,2718.0,5497.0,1205.0,550.0,135.0,2901.0,429.0,328.0,609.0,223.0,2931.0
2002,Rajasthan,12902,,,,,,,,,,,,,,,
2003,Jharkhand,31781,4369.0,1754.0,1560.0,1961.0,3141.0,2638.0,1141.0,707.0,168.0,538.0,285.0,493.0,1611.0,558.0,591.0
2004,Assam,14239,7551.0,3139.0,2255.0,2494.0,3387.0,2901.0,1645.0,809.0,274.0,1343.0,810.0,194.0,1141.0,363.0,2687.0
2005,Punjab,16576,,,,,,,,,,,,,,,
2006,Andhra Pradesh,29037,,,,,,,,,,,,,,,
2007,Odisha,29357,7112.0,5901.0,2824.0,3921.0,2248.0,9654.0,1161.0,642.0,208.0,960.0,408.0,354.0,1682.0,667.0,694.0
2008,West Bengal,24605,3900.0,4808.0,2127.0,3861.0,845.0,4935.0,702.0,739.0,454.0,2070.0,270.0,470.0,1396.0,581.0,2517.0
2009,Maharashtra,28678,3316.0,5955.0,1014.0,1644.0,2243.0,7454.0,917.0,655.0,433.0,1190.0,229.0,475.0,781.0,865.0,2595.0
2010,Uttar Pradesh,10546,2528.0,7793.0,1731.0,543.0,735.0,4800.0,1995.0,733.0,303.0,2299.0,668.0,103.0,701.0,348.0,2084.0
2011,Jharkhand,27370,3833.0,1737.0,2065.0,3920.0,3753.0,7230.0,1579.0,580.0,383.0,2570.0,546.0,180.0,1922.0,509.0,2909.0
2012,Assam,21326,,,,,,,,,,,,,,,
2013,Andhra Pradesh,22539,2338.0,3403.0,2957.0,919.0,3451.0,1159.0,1767.0,340.0,135.0,881.0,436.0,286.0,529.0,729.0,607.0
2014,Telangana,15342,,,,,,,,,,,,,,,
2015,Madhya Pradesh,22768,,,,,,,,,,,,,,,
2016,Rajasthan,18117,6393.0,5919.0,1303.0,3043.0,2067.0,2047.0,647.0,904.0,159.0,2806.0,695.0,212.0,1800.0,207.0,1533.0
2017,Kerala,22889,6829.0,2729.0,1307.0,3729.0,2534.0,5221.0,1095.0,293.0,202.0,2934.0,541.0,322.0,502.0,202.0,1840.0
2018,Karnataka,21793,8414.0,2057.0,723.0,1056.0,1687.0,2077.0,1686.0,703.0,327.0,1940.0,277.0,307.0,870.0,592.0,2976.0
2019,Bihar,26819,,,,,,,,,,,,,,,
2020,Andhra Pradesh,29132,,,,,,,,,,,,,,,
2021,Telangana,35772,,,,,,,,,,,,,,,
2022,Assam,42615,,,,,,,,,,,,,,,
2023, Madhya Pradesh,29342,3379.0,1295.0,2023.0,4633.0,2187.0,1430.0,1269.0,600.0,438.0,611.0,669.0,434.0,1913.0,371.0,1224.0
2003,Tamil Nadu,31781,4369.0,1754.0,1560.0,1961.0,3141.0,2638.0,1141.0,707.0,168.0,538.0,285.0,493.0,1611.0,558.0,591.0
2021,Andhra Pradesh,35772,,,,,,,,,,,,,,,
2019, Rajasthan,26819,,,,,,,,,,,,,,,
2023,Punjab,29342,3379.0,1295.0,2023.0,4633.0,2187.0,1430.0,1269.0,600.0,438.0,611.0,669.0,434.0,1913.0,371.0,1224.0
2008,Odisha,24605,3900.0,4808.0,2127.0,3861.0,845.0,4935.0,702.0,739.0,454.0,2070.0,270.0,470.0,1396.0,581.0,2517.0
